month,base,reserve,base_emergency,reserve_emergency,reserve_minus_base_cost_yuan,reserve_minus_base_emergency_kwh
2025-02,1285660.2866829755,1285660.2866829755,206.06580166666652,206.06580166666652,0.0,0.0
2025-03,1107757.8653982526,1109877.7120478672,64.00322874444045,489.57425511975237,2119.8466496146284,425.57102637531193
2025-04,891556.6543378532,892682.2917102696,64.23801967222218,304.1673856037054,1125.6373724164441,239.9293659314832
2025-05,965290.8953753508,971173.4146962954,11155.876922436655,12041.587336171848,5882.519320944557,885.7104137351926
2025-06,1403826.6255650828,1412003.350095233,8002.9608427888825,9536.709164424063,8176.7245301501825,1533.7483216351802
2025-07,1740073.0799001453,1764446.9991722915,13192.689916500003,18324.477630675046,24373.919272146188,5131.787714175043
2025-08,1495486.0489555034,1495486.0489555034,4.538833333333173,4.538833333333173,0.0,0.0
2025-09,1180899.9661428279,1185923.2375555984,602.2813718055538,1601.7617854685116,5023.271412770497,999.4804136629577
2025-10,1112492.0384411782,1130895.4070615212,2654.0247040166632,6160.9206291462915,18403.36862034304,3506.8959251296283
2025-11,1316512.25981005,1326859.0921108318,1445.3937329499902,3271.6205969925823,10346.832300781738,1826.226864042592
2025-12,1921562.0688100883,1931036.1735399533,11771.465557238895,13469.556452809251,9474.10472986498,1698.0908955703562
