tau,normal_purchase_cost_yuan,emergency_purchase_cost_yuan,total_purchase_cost_yuan,emergency_purchase_kwh,normal_purchase_kwh,terminal_soc_kwh,cost_change_vs_tau_080_yuan,emergency_change_vs_tau_080_kwh,validation_status
0.0,9010269.14125805,25050830.628985874,34061099.77024393,4510072.32890666,15329852.8355861,7909.2178341481485,20063109.608653262,4386372.826861574,PASS
0.6,12477042.945799377,2240676.8793440727,14717719.825143449,372278.96723922866,20514105.683025528,8462.778486370371,719729.6635527816,248579.4651941429,PASS
0.7,12831187.301303122,1350930.742410623,14182118.043713745,224867.76708100346,21035128.85404862,8516.495582416668,184127.8821230773,101168.26503591769,PASS
0.8,13259252.266410911,738737.8951797552,13997990.161590667,123699.50204508577,21647262.382565323,8687.221346962964,0.0,0.0,PASS
0.9,13876905.955845768,323864.4643684455,14200770.420214213,54289.15179544133,22519491.812199734,8901.896507842592,202780.258623546,-69410.35024964444,PASS
0.95,14409785.221755961,162732.3054807055,14572517.527236667,26944.188486280535,23266063.346876305,9069.533844282405,574527.3656459991,-96755.31355880524,PASS
